
******************** printing table Devices ********************

('pOR20', 'pTET>+yfp+pCONST>+tetR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pOR30', 'pLAS>+yfp+pCONST>+lasR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pOR1020', 'pBADpTET>+yfp+pCONST>+araC+tetR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pOR1030', 'pBADpLAS>+yfp+pCONST>+araC+lasR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pOR2030', 'pTETpLAS>+yfp+pCONST>+lasR+tetR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pNOR1020', 'pBADpTET>+cI+pCONST>+araC+tetR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pNOR1030', 'pBADpLAS>+cI+pCONST>+araC+lasR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pNOR2030', 'pTETpLAS>+cI+pCONST>+lasR+tetR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pNOR40', 'pRHL>+cI+pCONST>+rhlR', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pPcI-yfp', 'pLAMBDA>+yfp', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pcI-lasI', 'pLAMBDA>+lasI', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pcI-rhlI', 'pLAMBDA>+rhlI', '[A Tamsir et al]', '[Robust multicellular computing using genetically encoded NOR gates and chemical wires]', 'Nature', '2011', '[ ]')
('pBW10xlac-gfp', 'pLAC>+gfp+pCONST>+lacI', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW20xara-gfp', 'araC+pCONST<+pBAD>+gfp', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW30xlux-gfp', 'pTET>+luxR+pLUX>+gfp', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW115lac-hrpR', 'pLAC>+hrpR+pCONST>+lacI', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW213ara-hrpS', 'araC+pCONST<+pBAD>+hrpS', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW313lux-hrpR', 'pTET>+luxR+pLUX>+hrpR', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('PBW12xlac-cIgfp', 'pLAC>+cI+pLAMBDA>+gfp+pCONST>+lacI', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pBW400hrpL-gfp', 'phrpL>+gfp', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('PBW412hrpL-cIgfp', 'phrpL>+cI+pLAMBDA>+gfp', '[B Wang et al]', '[Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology]', '[Nature communications]', '2011', '[ ]')
('pSupDLuxR', 'luxR+pCONST<+pLUX>+supD', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pAC-SalSer914', 'nahR+pCONST<+pSAL>+supD', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBAC874t', 'pTET>+gfp', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBACxxx', 'araC+pCONST<+pBAD>+gfp', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBACr-Mgr901', 'pmgrB>+gfp', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBACr-AraT7940', 'araC+pCONST<+pBAD>+T7ptag', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBACr-Mgr940', 'pmgrB>+T7ptag', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBACr-Mgr951', 'pT7>+gfp+pmgrB>+T7ptag', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pBR939B', 'pT7>+gfp', '[JC Anderson et al]', '[Environmental signal integration by a modular AND gate]', '[Molecular Systems Biology]', '2007', '[ ]')
('pFNK-202-eyfp-qscxxx', 'rhlR+pCONST<+pRHL>+yfp', '[D Karig et al]', '[Signal-Amplifying Genetic Circuit Enables In Vivo Observation of Weak Promoter Activation in the Rhl Quorum Sensing System]', '[Biotechnology and bioengineering]', '2005', '[ ]')
('pMUX-204-qscxxx', 'rhlR+pCONST<+pRHL>+cI', '[D Karig et al]', '[Signal-Amplifying Genetic Circuit Enables In Vivo Observation of Weak Promoter Activation in the Rhl Quorum Sensing System]', '[Biotechnology and bioengineering]', '2005', '[ ]')
('pINV-107-mutx', 'pLAMBDA>+yfp', '[D Karig et al]', '[Signal-Amplifying Genetic Circuit Enables In Vivo Observation of Weak Promoter Activation in the Rhl Quorum Sensing System]', '[Biotechnology and bioengineering]', '2005', '[ ]')
('pLD', 'pLUX>+cI+pLAMBDA>+lacI', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pSND', 'pTET>+luxI', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pHD-gfp', 'lacI+pLUX<+pCONST>+luxR+pLAC>+gfp', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pHD-rfp', 'lacI+pLUX<+pCONST>+luxR+pLAC>+rfp', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pCFP', 'lacI+pCONST<+pLAC>+cfp', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pRFP', 'lacI+pCONST<+pLAC>+rfp', '[S Basu et al]', '[A synthetic multicelluar system for programmed pattern formation]', 'Nature', '2004', '[ ]')
('pMKN7a', 'pLAC>+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pBAG10x', 'pTET>+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pBRTxxx', 'pLAMBDA>+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pTAK102-103a', 'lacI+pLAMBDA<+pLAC>+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pTAK106-107', 'gfp+pLAMBDA<+pLAC>+cI', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pIKE108-110', 'gfp+pTET<+pLAC>+tetR', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pTAK117-132', 'lacI+pLAMBDA<+pLAC>+cI+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pIKE107', 'lacI+pTET<+pLAC>+tetR+gfp', '[TS Gardner et al]', '[Construction of a genetic toggle switch in Escherichia coli]', 'Nature', '2000', '[ ]')
('pJS167', 'pLAC/BAD>+araC+pLAC/BAD>+gfp', '[J Stricker et al]', '[A fast robust and tunable synthetic gene oscillator]', 'Nature', '2008', '[ ]')
('pJS169', 'pLAC/BAD>+lacI', '[J Stricker et al]', '[A fast robust and tunable synthetic gene oscillator]', 'Nature', '2008', '[ ]')
('BBa_F2620', 'pTET>+luxR+pLUX>', '[B Canton et al]', '[Refinement and standardization of synthetic biological parts and devices]', '[Nature Biotechnology]', '2008', '[ ]')
('pJT108', 'pompC>+lacZ', '[JJ Tabor et al]', '[A Synthetic Genetic Edge Detection Program]', 'Cell', '2009', '[ ]')
