pBACr-Mgr901,gfp,1,[ ]
pBACr-AraT7940,T7ptag,1,[ ]
pBACr-Mgr940,T7ptag,1,[ ]
pBACr-Mgr951,gfp,1,[ ]
pBR939B,gfp,1,[ ]
pFNK-202-eyfp-qscxxx,yfp,1,[ ]
pMUX-204-qscxxx,cI,1,[ ]
pINV-107-mutx,yfp,1,[ ]
pLD,lacI,1,[ ]
pSND,AHL,1,[ ]
pHD-gfp,gfp,1,[ ]
pHD-rfp,rfp,1,[ ]
pCFP,cfp,1,[ ]
pRFP,rfp,1,[ ]
pMKN7a,gfp,1,[ ]
pBAG10x,gfp,1,[ ]
pBRTxxx,gfp,1,[ ]
pTAK102-103a,gfp,1,[ ]
pTAK106-107,gfp,1,[ ]
pIKE108-110,gfp,1,[ ]
pTAK117-132,gfp,1,[ ]
pIKE107,gfp,1,[ ]
pJS167,gfp,1,[ ]
pJS169,lacI,1,[ ]
BBa_F2620,pLUX,1,[ ]
pJT108,lacZ,1,[ ]
pJT105,lacZ,1,[ ]
pJT106,lacZ,1,[ ]
pEDL3,lacZ,1,[ ]
pLuxRI2,AHL-luxR,1,[ ]
pluxCcdB3,lacZalpha-ccdB,1,[ ]
predator1-MG1655,ccdA,1,[ ]
predator2-MG1655,"lacZalpha-ccdB,gfp",1,[ ]
prey1-Top10F,lacZalpha-ccdB,1,[ ]
prey2-Top10F,gfp,1,[ ]
predator-Top10F,lacZalpha-ccdB,1,[ ]
pBR322-ptrc-lexA,lexA,1,[ ]
pRV2-SOS,gfp,1,[ ]
pZE21-MCSI-pZE12-luc,EMPTY,1,[ ]
pZE21-MCS1-gfp,gfp,1,[ ]
PLuxI-Tet-8,AHL,1,[ ]
pLTSUB-202-RBSH,cfp,1,[ ]
pPSSUB-101-mut4,gfp,1,[ ]
pCRT1,yfp,1,[ ]
pCRT2,yfp,1,[ ]
pCRT3,yfp,1,[ ]
pTara:500,T7,1,[ ]
pTSara-N,T7-N,1,[ ]
pTSara-C,T7-C,1,[ ]
pTSlb,T7-C-T7-N,1,[ ]
pET:NNNN:GFP,"gfp,lacI",1,[ ]
PluxI-lacO-GFPmut2,gfp,1,[ ]
pBAD-cI-pOR1-gfp,gfp,1,[ ]
pBAD-cI-pOR1-gfp,gfp,1,[ ]
pBAD-cI-pOR1-gfp,gfp,1,[ ]
pTACsym-yfp,yfp,1,[ ]
pTACsym-McbR-pMcbR-yfp,yfp,1,[ ]
pTACsym-R73delta-pMcbR-yfp,yfp,1,[ ]
pSal-yfp,yfp,1,[ ]
pSal-McbR-pMcbR-yfp,yfp,1,[ ]
pSal-R73delta-pMcbR-yfp,yfp,1,[ ]
pBAD-rfp,rfp,1,[ ]
pTac-rfp,rfp,1,[ ]
pLux-rfp,rfp,1,[ ]
pTet-rfp,rfp,1,[ ]
pTET-invF,invF,1,[ ]
pBAD-sicA,sicA,1,[ ]
psicA-rfp,rfp,1,[ ]
pTet-mxiE,mxiE,1,[ ]
pBAD-ipgC,ipgC,1,[ ]
pipaH-rfp,rfp,1,[ ]
pTet-exsDA,exsDA,1,[ ]
pLux-exsC,exsC,1,[ ]
pexsC-rfp,rfp,1,[ ]
pACPc-invF,invF,1,[ ]
pXCPi-sicA,sicA,1,[ ]
