"O_ID"	"R_L"
"2,1"	"R"
"2,2"	"R"
"3,1"	"R"
"3,2"	"R"
"4,1"	"R"
"4,2"	"R"
"5,1"	"R"
"5,1"	"R"
"5,2"	"R"
"6,1"	"R"
"6,1"	"R"
"6,2"	"R"
"7,1"	"R"
"7,1"	"R"
"7,2"	"R"
"8,1"	"R"
"8,1"	"R"
"8,2"	"R"
"9,1"	"R"
"9,1"	"R"
"9,2"	"R"
"10,1"	"R"
"10,1"	"R"
"10,2"	"R"
"12,1"	"R"
"13,1"	"R"
"14,1"	"R"
"17,1"	"R"
"18,2"	"L"
"19,1"	"L"
"20,1"	"L"
"21,2"	"L"
"22,1"	"L"
"24,1"	"L"
"24,2"	"R"
"27,1"	"L"
"27,2"	"R"
"28,1"	"R"
"28,2"	"R"
